name,address,city/zip,full_address,lat,lon
7C's Winery,502 E 560th Rd,"Walnut Grove, MO 66770","502 E 560th Rd, Walnut Grove, MO 66770, USA",37.4362854,-93.5474282
Adam Puchta Winery,1947 Frene Creek Rd,"Hermann, MO 65041","1947 Frene Creek Rd, Hermann, MO 65041, USA",38.6690954,-91.46738219999999
Albonée Country Inn and Vineyards LLC,2200 S Crenshaw Rd,"Independence, MO 64057","2200 S Crenshaw Rd, Independence, MO 64057, USA",39.077112,-94.312938
Amigoni Urban Winery,1505 Genessee,"Kansas City, MO 64102","1505 Genessee, Kansas City, MO 64102, USA",39.0957493,-94.6044893
Apple Creek Vineyard & Winery,1930 County Rd 401,"Friedheim, MO 63747","1930 County Rd 401, Friedheim, MO 63747, USA",37.5914279,-89.7819047
Arcadian Moon Winery & Brewery,19203 Old US 40,"Higginsville, MO 64037","19203 Old US 40, Higginsville, MO 64037, USA",38.9927055,-93.7094815
Augusta Winery,5601 High St,"Augusta, MO 63332","5601 High St, Augusta, MO 63332, USA",38.57137609999999,-90.8841247
"Backyard Vine & Wine, LLC",30484 Icon Road,"Maryville, MO 64468","30484 Icon Road, Maryville, MO 64468, USA",40.2802459,-94.8956037
Balducci Vineyards,6601 Hwy 94 South,"Augusta, MO 63332","6601 Hwy 94 South, Augusta, MO 63332, USA",38.5829728,-90.9364344
Baltimore Bend Vineyard,27150 Hwy 24,"Waverly, MO 64096","27150 Hwy 24, Waverly, MO 64096, USA",39.2009282,-93.5948543
Bardenheier Wine Cellars,11386 State Hwy A,"Richwoods, MO 63071","11386 State Hwy A, Richwoods, MO 63071, USA",38.1573808,-90.83491459999999
Bear Creek Wine Company,1320 Keithley Rd,"Walnut Shade, MO 65771","1320 Keithley Rd, Walnut Shade, MO 65771, USA",36.802962,-93.247548
Belmont Vineyards,5870 Old Route 66,"Leasburg, MO 65535","5870 Old Route 66, Leasburg, MO 65535, USA",38.10964,-91.333637
Belvoir Winery,1325 Odd Fellows Rd,"Liberty, MO 64068","1325 Odd Fellows Rd, Liberty, MO 64068, USA",39.2283614,-94.4071578
Bias Winery & Gruhlke's Microbrewery,3166 Hwy B,"Berger, MO 63104","3166 Hwy B, Berger, MO 63104, USA",38.6659453,-91.3178188
Black Silo Winery,4030 E 10th Street,"Trenton, MO 64683","4030 E 10th Street, Trenton, MO 64683, USA",40.075047,-93.5691879
Blumenhof Vineyards & Winery,13699 S Hwy 94,"Dutzow, MO 63342","13699 S Hwy 94, Dutzow, MO 63342, USA",38.5997991,-90.9915797
Buffalo Creek Winery,28888 Riverview Rd,"Stover, MO 65078","28888 Riverview Rd, Stover, MO 65078, USA",38.2740788,-93.0689564
Bushwhacker Bend Winery,515 First St,"Glasgow, MO 65254","515 First St, Glasgow, MO 65254, USA",39.226022,-92.84748379999999
Canterbury Hill Winery and Restaurant,1707 S Summit Dr,"Holts Summit, MO 65043","1707 S Summit Dr, Holts Summit, MO 65043, USA",38.610197,-92.1525065
Cave Hollow West Winery,Historical Mark Twain Cave Complex 300 Cave Hollow Rd,"Hannibal, MO 63401","Historical Mark Twain Cave Complex 300 Cave Hollow Rd, Hannibal, MO 63401, USA",39.6892999,-91.3329734
Cave Vineyard,21124 Cave Rd,"Ste. Genevieve, MO 63670","21124 Cave Rd, Ste. Genevieve, MO 63670, USA",37.8149535,-90.09402589999999
Cedar Lake Cellars,11008 Schreckengast Rd,"Wright City, MO 63390","11008 Schreckengast Rd, Wright City, MO 63390, USA",38.7803896,-90.984346
Chandler Hill Vineyards,596 Defiance Rd,"Defiance, MO 63341","596 Defiance Rd, Defiance, MO 63341, USA",38.6320194,-90.80290219999999
Charleville Vineyard Winery & Microbrewery,16937 Boyd Rd,"Ste. Genevieve, MO 63670","16937 Boyd Rd, Ste. Genevieve, MO 63670, USA",37.75348,-90.1487609
Chaumette Vineyards & Winery,24345 State Rt WW,"Ste. Genevieve, MO 63670","24345 State Rt WW, Ste. Genevieve, MO 63670, USA",37.7632502,-90.15947919999999
Christine's Vineyard,25695 Mulberry Road,"Webb City, MO 64870","25695 Mulberry Road, Webb City, MO 64870, USA",37.2389129,-94.520647
Claverach Farm & Vineyards,570 S Lewis Rd,"Eureka, MO 63025","570 S Lewis Rd, Eureka, MO 63025, USA",38.4861303,-90.59354069999999
Cooper's Oak Winery,9603 Hwy A,"Higbee, MO 65257","9603 Hwy A, Higbee, MO 65257, USA",39.3129764,-92.520457
Crown Valley Winery,23589 State Rt WW,"Ste. Genevieve, MO 63670","23589 State Rt WW, Ste. Genevieve, MO 63670, USA",37.7787455,-90.18989289999999
Curling Vine Winery - Branson,601 State Hwy 165,"Branson, MO 65616","601 State Hwy 165, Branson, MO 65616, USA",36.6327536,-93.2810767
Curling Vine Winery - New Florence,485 Booneslick Rd,"New Florence, MO 63363","485 Booneslick Rd, New Florence, MO 63363, USA",38.89818,-91.44905399999999
Dale Hollow Winery,314 E 1st St,"Stover, MO 65078","314 E 1st St, Stover, MO 65078, USA",38.439141,-92.983504
Defiance Ridge Vineyards,2711 S. Missouri 94,"Defiance, MO 63341","2711 S. Missouri 94, Defiance, MO 63341, USA",38.6402106,-90.7749685
DeLaney Vineyard & Winery,1200 S Main St,"Nevada, MO 64772","1200 S Main St, Nevada, MO 64772, USA",37.8260279,-94.3587955
Durso Hills Winery and Bistro,4994 Hwy A,"Marquand, MO 63655","4994 Hwy A, Marquand, MO 63655, USA",37.6300582,-89.62930279999999
