name,address,city/zip
7C's Winery,502 E 560th Rd,"Walnut Grove, MO 66770"
Adam Puchta Winery,1947 Frene Creek Rd,"Hermann, MO 65041"
Albonée Country Inn and Vineyards LLC,2200 S Crenshaw Rd,"Independence, MO 64057"
Amigoni Urban Winery,1505 Genessee,"Kansas City, MO 64102"
Apple Creek Vineyard & Winery,1930 County Rd 401,"Friedheim, MO 63747"
Arcadian Moon Winery & Brewery,19203 Old US 40,"Higginsville, MO 64037"
Augusta Winery,5601 High St,"Augusta, MO 63332"
"Backyard Vine & Wine, LLC",30484 Icon Road,"Maryville, MO 64468"
Balducci Vineyards,6601 Hwy 94 South,"Augusta, MO 63332"
Baltimore Bend Vineyard,27150 Hwy 24,"Waverly, MO 64096"
Bardenheier Wine Cellars,11386 State Hwy A,"Richwoods, MO 63071"
Bear Creek Wine Company,1320 Keithley Rd,"Walnut Shade, MO 65771"
Belmont Vineyards,5870 Old Route 66,"Leasburg, MO 65535"
Belvoir Winery,1325 Odd Fellows Rd,"Liberty, MO 64068"
Bias Winery & Gruhlke's Microbrewery,3166 Hwy B,"Berger, MO 63104"
Black Silo Winery,4030 E 10th Street,"Trenton, MO 64683"
Blumenhof Vineyards & Winery,13699 S Hwy 94,"Dutzow, MO 63342"
Buffalo Creek Winery,28888 Riverview Rd,"Stover, MO 65078"
Bushwhacker Bend Winery,515 First St,"Glasgow, MO 65254"
Canterbury Hill Winery and Restaurant,1707 S Summit Dr,"Holts Summit, MO 65043"
Cave Hollow West Winery,Historical Mark Twain Cave Complex 300 Cave Hollow Rd,"Hannibal, MO 63401"
Cave Vineyard,21124 Cave Rd,"Ste. Genevieve, MO 63670"
Cedar Lake Cellars,11008 Schreckengast Rd,"Wright City, MO 63390"
Chandler Hill Vineyards,596 Defiance Rd,"Defiance, MO 63341"
Charleville Vineyard Winery & Microbrewery,16937 Boyd Rd,"Ste. Genevieve, MO 63670"
Chaumette Vineyards & Winery,24345 State Rt WW,"Ste. Genevieve, MO 63670"
Christine's Vineyard,25695 Mulberry Road,"Webb City, MO 64870"
Claverach Farm & Vineyards,570 S Lewis Rd,"Eureka, MO 63025"
Cooper's Oak Winery,9603 Hwy A,"Higbee, MO 65257"
Crown Valley Winery,23589 State Rt WW,"Ste. Genevieve, MO 63670"
Curling Vine Winery - Branson,601 State Hwy 165,"Branson, MO 65616"
Curling Vine Winery - New Florence,485 Booneslick Rd,"New Florence, MO 63363"
Dale Hollow Winery,314 E 1st St,"Stover, MO 65078"
Defiance Ridge Vineyards,2711 S. Missouri 94,"Defiance, MO 63341"
DeLaney Vineyard & Winery,1200 S Main St,"Nevada, MO 64772"
Durso Hills Winery and Bistro,4994 Hwy A,"Marquand, MO 63655"
Eagles’ Landing,200 N. Jefferson Street,"St. James, MO 65559"
Edg-Clif Farms & Vineyard,10035 Edg-Clif Dr,"Potosi, MO 63664"
Eichenberg Winery,103 N Olive,"Cole Camp, MO 65325"
Endless Summer Winery,5 Grosse Ln,"Hermann, MO 65041"
Fahrmeier Family Vineyards,9364 Mitchell Trail,"Lexington, MO 64067"
Fence Stile Vineyards & Winery,31010 W 124th St,"Excelsior Springs, MO 64024"
Florida Winery,20578 Monroe Rd 543,"Florida, MO 65283"
Four Horses and a Dog Vineyard & Winery,15010 Salem Road,"Excelsior Springs, MO 64024"
Giggling Grapes Winery,2111 Hastings Rd,"Jefferson City, MO 65109"
Golden Rock Winery,955 N Business Rt 5,"Camdenton, MO 65020"
Grindstone Valley Winery,595 Clinton St,"Osborn, MO 64474"
Heinrichshaus Vineyard and Winery,18500 State Hwy U,"St. James, MO 65559"
Hemman Winery,13022 Hwy C,"Brazeau, MO 63737"
Hermannhof Winery,330 E First St,"Hermann, MO 65041"
Holy Grail Winery & Vineyard,17814 State Hwy N,"Marthasville, MO 63357"
Hummingbird Vineyard and Winery,16586 Audrain Road 953,"Mexico , MO 65265"
Hunter Valley Winery,762 State Hwy V,"Cape Girardeau, MO 63701"
Jowler Creek Vineyard & Winery,16905 Jowler Creek Rd.,"Platte City, MO 64079"
KC Wineworks,1829 McGee Street,"Kansas City, MO 64108"
Keltoi Vineyard & Winery,17705 County Rd 260,"Oronogo, MO 64855"
Kuenzel Valley Winery,4455 Kohl City Road,"New Haven, MO 63068"
La Bella Vineyards & Winery,11644 Flournoy School Rd,"Wellington, MO 64097"
LaChance Vineyards,12237 Peter Moore Ln,"DeSoto, MO 63020"
Ladoga Ridge Winery LLC,100 E Pope Ln,"Smithville, MO 64089"
Lake Creek Winery,15088 Boone Monument Rd.,"Marthasville, MO 63357"
Lambs and Vines Winery,228 Country View Rd,"Seymour, MO 65746"
Leaky Roof Meadery,1306 S Azalea St,"Buffalo, MO 65622"
Les Bourgeois Vineyards,12847 W Hwy BB,"Rocheport, MO 65279"
Lewsi Winery,57 N. Main St.,"Sainte Genevieve , MO 63670"
Lindwedel Winery,3158 State Hwy 265,"Branson, MO 65616"
Little Hills Winery and Restaurant,710 S Main Street,"St. Charles, MO 63301"
Lost Creek Vineyard,21356 Gore Rd,"Marthasville, MO 63357"
