tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
789,00:55.4,14:05.1,504,1 Ave & E 16 St,40.73221853,-73.98165557,307,Canal St & Rutgers St,40.71427487,-73.98990025,30326,Subscriber,1992,1
1541,01:08.1,26:49.2,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,17105,Customer,1969,1
1464,01:42.1,26:07.0,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,259,South St & Whitehall St,40.70122128,-74.01234218,40177,Subscriber,1963,1
592,01:45.6,11:38.2,346,Bank St & Hudson St,40.73652889,-74.00618026,490,8 Ave & W 33 St,40.751551,-73.993934,27690,Subscriber,1980,1
702,01:45.8,13:28.2,372,Franklin Ave & Myrtle Ave,40.69454609,-73.95801365,3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,32583,Subscriber,1982,1
1740,02:04.7,31:04.7,394,E 9 St & Avenue C,40.72521311,-73.97768752,478,11 Ave & W 41 St,40.76030096,-73.99884222,41475,Subscriber,1980,1
203,02:06.0,05:29.2,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,30072,Subscriber,1985,1
1758,02:19.6,31:38.0,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,30055,Subscriber,1969,0
114,03:49.8,05:44.1,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,14936,Subscriber,1991,1
417,03:53.3,10:50.3,467,Dean St & 4 Ave,40.68312489,-73.97895137,3368,5 Ave & 3 St,40.6728155,-73.98352355,40210,Subscriber,1971,1
422,03:56.0,10:58.4,504,1 Ave & E 16 St,40.73221853,-73.98165557,393,E 5 St & Avenue C,40.72299208,-73.97995466,35019,Subscriber,1975,1
475,04:13.9,12:08.9,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,3379,E 103 St & Lexington Ave,40.7903051,-73.94755757,28224,Subscriber,1997,1
